Date,MMM,ABT,ABBV,ABMD,ACN,ATVI,ADBE,AMD,AAP,AES,AMG,AFL,A,APD,AKAM,ALK,ALB,ARE,ALXN,ALGN,ALLE,AGN,ADS,LNT,ALL
2015-05-05,142.52456665039062,43.020503997802734,54.74722290039063,75.47000122070312,86.72770690917969,22.097261428833008,75.0,2.2799999713897705,143.01092529296875,11.393184661865234,220.2218780517578,26.967329025268555,39.98861312866211,119.67709350585938,75.36000061035156,58.86258316040039,56.34049987792969,80.2969741821289,168.5500030517578,59.5099983215332,59.50298690795898,275.795654296875,293.1558837890625,25.56850814819336,64.90207672119139
2015-05-06,142.2808837890625,42.7358512878418,54.81581115722656,73.83999633789062,86.12577819824219,22.57404136657715,74.4800033569336,2.289999961853028,143.1102294921875,11.367827415466307,217.4753875732422,26.886932373046875,39.98861312866211,119.79230499267578,75.04000091552734,59.11497497558594,56.34049987792969,79.92609405517578,155.00999450683594,58.90999984741211,59.29013061523438,273.44073486328125,289.2269592285156,25.46274757385254,62.40798950195313
2015-05-07,143.15634155273438,42.69912338256836,55.46735000610352,69.72000122070311,87.50563049316406,23.751392364501953,74.7300033569336,2.3199999332427983,143.54721069335938,11.443894386291506,218.0857086181641,26.975788116455078,40.19053268432617,120.31903076171876,75.23999786376953,60.72278594970703,58.99790573120117,81.20653533935547,162.9600067138672,58.86999893188477,59.49330520629883,277.291748046875,290.6405029296875,25.50505065917969,62.78811645507813
2015-05-08,144.95248413085938,43.68165969848633,55.93030166625977,67.37000274658203,88.8021469116211,24.374126434326172,76.30999755859375,2.309999942779541,143.77566528320312,11.545315742492676,219.9856414794922,27.17467498779297,40.86356735229492,121.7840576171875,76.43000030517578,61.94734573364258,59.30776977539063,82.7077407836914,163.02000427246094,59.709999084472656,60.354408264160156,282.6194763183594,295.70050048828125,25.49235343933105,62.370887756347656
2015-05-11,144.3206787109375,43.46127700805664,55.89599990844727,66.55999755859375,88.91327667236328,23.975187301635746,76.79000091552734,2.3199999332427983,144.52056884765625,11.562219619750975,219.56231689453125,27.0350341796875,40.978946685791016,120.17090606689452,76.0999984741211,62.00342178344727,59.39228439331055,80.80032348632812,161.0399932861328,59.349998474121094,61.1284294128418,291.22869873046875,293.8286437988281,25.420448303222656,62.000038146972656
2015-05-12,144.47412109375,43.277626037597656,55.56166076660156,68.55999755859375,88.36687469482422,23.946001052856445,76.56999969482422,2.3499999046325684,146.12957763671875,11.587575912475586,217.55413818359372,26.81499099731445,40.296295166015625,118.91165924072266,75.97000122070312,60.92844009399414,58.85704803466797,81.80699920654297,161.0800018310547,58.63999938964844,59.77389144897461,286.451171875,289.23663330078125,25.34006690979004,62.0371322631836
2015-05-13,145.59329223632812,43.18579864501953,55.98173904418945,66.25,88.60768127441406,23.96545791625977,77.08000183105469,2.369999885559082,148.3642578125,11.291759490966795,217.51475524902344,26.912317276000977,40.20014572143555,119.29850769042969,76.12000274658203,60.48909378051758,58.72559356689453,80.71202087402344,159.41000366210938,58.75,59.73518753051758,285.3894958496094,290.27984619140625,25.158159255981445,62.111289978027344
2015-05-14,147.2540283203125,44.69173812866211,56.55613327026367,68.30999755859375,89.81158447265625,24.49088859558105,79.43000030517578,2.3299999237060547,148.8409881591797,11.443894386291506,219.8871612548828,26.98425674438477,40.4308967590332,121.49600982666016,78.36000061035156,61.81645965576172,59.74911117553711,82.398681640625,161.69000244140625,59.31000137329102,59.8609733581543,287.09783935546875,291.3132019042969,25.4965934753418,62.713951110839844
2015-05-15,147.389404296875,44.72846984863281,56.57326889038086,67.44999694824219,89.84861755371094,24.73414421081543,78.91999816894531,2.3199999332427983,150.5890350341797,11.579124450683596,218.9322967529297,26.94194030761719,40.42129135131836,122.20378875732422,77.95999908447266,62.16234970092773,60.45335388183594,83.28172302246094,160.55999755859375,59.27999877929688,59.78356170654297,286.2677917480469,290.0263671875,25.80541038513184,62.6768684387207
2015-05-18,147.0012969970703,44.84784698486328,56.24749755859375,68.66000366210939,90.256103515625,24.73414421081543,79.41000366210938,2.3499999046325684,150.84722900390625,11.612929344177244,221.2948760986328,27.38747215270996,40.98856735229492,121.75115203857422,77.94000244140625,63.17189025878906,59.40166854858398,83.47600555419922,163.16000366210938,59.86000061035156,59.88031768798828,285.4570617675781,292.951171875,25.90270805358887,63.13117218017578
2015-05-19,147.22691345214844,45.00395202636719,56.350379943847656,68.01000213623047,89.99679565429688,24.792524337768555,79.62000274658203,2.2799999713897705,151.9000244140625,11.511507987976074,220.842041015625,27.524555206298828,40.73857879638672,121.40546417236328,77.30000305175781,62.80624389648438,58.87582397460938,83.47600555419922,161.9600067138672,59.2400016784668,59.822265625,288.0340270996094,293.3704528808594,25.91539764404297,63.74311065673828
2015-05-20,147.04983520507812,45.12332534790039,56.48752975463867,66.84999847412111,89.87641143798828,25.05524063110352,79.61000061035156,2.3199999332427983,148.88070678710938,11.519960403442385,222.1906890869141,27.72162628173828,40.969337463378906,121.0844955444336,76.91000366210938,59.96546936035156,58.72559356689453,83.56430053710938,164.44000244140625,59.22000122070313,59.54168319702149,287.1364440917969,292.4832458496094,25.97462654113769,63.72459030151367
2015-05-21,147.1951446533203,45.30697631835938,56.28179550170898,65.06999969482422,89.67266082763672,24.928749084472656,80.55999755859375,2.2799999713897705,156.42906188964844,11.64673900604248,221.944580078125,26.94194030761719,40.69050216674805,121.8005142211914,77.63999938964844,60.64989471435547,58.88522338867188,82.77838134765625,168.57000732421875,59.38000106811523,59.40623092651367,290.7268371582031,289.75335693359375,25.945016860961914,63.14045333862305
2015-05-22,146.21421813964844,45.0223274230957,56.13605880737305,63.45000076293945,89.26519012451172,24.802255630493164,80.04000091552734,2.2799999713897705,159.1106719970703,11.579124450683596,221.37364196777344,26.864830017089844,40.86356735229492,120.7964096069336,77.66000366210938,60.37800216674805,58.09645080566406,82.54878997802734,171.94000244140625,59.290000915527344,59.27077102661133,290.852294921875,292.7854919433594,25.894250869750977,62.6768684387207
2015-05-26,144.95172119140625,44.6274642944336,56.667564392089844,60.7400016784668,88.98735046386719,24.72441291809082,79.36000061035156,2.220000028610229,156.9256591796875,11.3424711227417,219.1587371826172,26.44927978515625,40.440513610839844,120.19561767578124,76.93000030517578,58.47477722167969,57.42975997924805,82.41633605957031,165.94000244140625,59.27000045776367,58.91278457641602,289.61688232421875,290.2895812988281,25.6700382232666,62.4728889465332
2015-05-27,146.2505340576172,45.00395202636719,57.764915466308594,61.849998474121094,89.61709594726562,25.016319274902344,80.16000366210938,2.2799999713897705,156.15097045898438,11.359374046325685,221.3441162109375,26.757722854614254,40.969337463378906,121.43018341064452,77.73999786376953,59.44045639038086,57.58000183105469,83.4318618774414,168.1199951171875,59.70000076293945,59.81258773803711,296.10284423828125,294.7060852050781,25.91539764404297,62.96649932861328
2015-05-28,146.1143035888672,45.23351287841797,57.842079162597656,60.56999969482422,89.74675750732422,25.035778045654297,80.0199966430664,2.2699999809265137,155.28688049316406,11.266404151916506,221.53114318847656,26.80056953430176,40.1424446105957,121.9733428955078,77.02999877929688,59.75921630859375,56.8945198059082,83.38770294189453,166.19000244140625,61.18000030517578,59.92869567871094,302.1737060546875,292.55145263671875,26.000009536743164,63.1434440612793
2015-05-29,144.48846435546875,44.6274642944336,57.08765411376953,59.72000122070313,88.94105529785156,24.57846069335937,79.08999633789062,2.2799999713897705,152.1781768798828,11.49460506439209,220.1726531982422,26.65490913391113,39.60401916503906,120.7881851196289,76.2699966430664,60.60300827026367,56.481361389160156,81.88648986816406,163.83999633789062,60.66999816894531,60.41246032714844,296.1221008300781,290.56256103515625,25.93231964111328,62.6964111328125
2015-06-01,144.39767456054688,44.939674377441406,57.37913131713867,60.34000015258789,89.07996368408203,24.714683532714844,79.87000274658203,2.25,152.2774658203125,11.528414726257324,219.61155700683597,26.60350608825684,39.34440612792969,121.35607147216795,75.2300033569336,61.96245574951172,56.19965362548828,82.65475463867188,164.77999877929688,61.7400016784668,60.02544784545898,298.3902282714844,289.69482421875,25.970394134521484,62.3238754272461
2015-06-02,144.48846435546875,44.939674377441406,57.11337661743164,59.65999984741211,89.20962524414062,24.841175079345703,79.81999969482422,2.299999952316284,154.30360412597656,11.367827415466307,221.23583984375,26.672046661376953,39.52709197998047,121.93219757080078,75.45999908447266,61.61555099487305,56.96025085449219,82.05426788330078,163.91000366210938,62.36999893188477,60.36408996582031,295.0603942871094,290.747802734375,25.602352142333984,62.51945114135742
2015-06-03,145.46942138671875,44.8662109375,57.44771957397461,62.04999923706055,89.81158447265625,25.25957298278809,80.12999725341797,2.2799999713897705,155.46566772460938,11.114267349243164,222.5450897216797,26.77914810180664,39.51747512817383,122.08856201171876,76.0199966430664,61.7468147277832,57.70207595825195,80.78266143798828,161.52999877929688,63.4000015258789,60.77044677734375,295.7456970214844,291.5082702636719,25.21738624572754,63.068931579589844
2015-06-04,143.82546997070312,44.70092010498047,57.79921340942383,63.31000137329102,88.83920288085938,24.99685859680176,78.75,2.3299999237060547,155.53517150878906,11.00439453125,219.54266357421875,26.6077880859375,38.979042053222656,120.10509490966795,75.13999938964844,61.418663024902344,57.53304672241211,80.91512298583984,159.05999755859375,62.790000915527344,59.822265625,292.8116149902344,287.793701171875,24.98471260070801,62.44496154785156
2015-06-05,142.67198181152344,44.48972702026367,57.78206634521485,63.81999969482422,88.34835815429688,25.0747013092041,78.86000061035156,2.3299999237060547,156.31979370117188,11.114267349243164,218.68618774414062,26.47927284240723,38.75790023803711,119.8169937133789,75.23999786376953,61.55931854248047,57.401588439941406,79.45806884765625,160.25999450683594,62.90999984741211,59.8900032043457,291.7691955566406,288.0179748535156,24.658973693847656,61.914100646972656
2015-06-08,142.22689819335938,44.48053741455078,58.11641311645508,63.099998474121094,87.76493835449219,24.753604888916016,78.16000366210938,2.309999942779541,156.24034118652344,11.055106163024902,216.7764434814453,26.39787292480469,38.41176223754883,118.96106719970705,74.88999938964844,58.62478637695313,56.98841857910156,80.02323150634766,159.3800048828125,61.9900016784668,59.40623092651367,288.2560119628906,288.105712890625,24.553211212158203,61.29941940307617
2015-06-09,142.5811004638672,44.24180221557617,58.01354217529297,61.5099983215332,87.92237091064453,24.83144569396973,77.9000015258789,2.289999961853028,156.34957885742188,11.418539047241213,215.0734100341797,26.419292449951172,38.57521438598633,118.87052917480469,72.9000015258789,56.86220169067383,56.9039192199707,79.38742065429688,159.0399932861328,61.58000183105469,58.9708366394043,286.5283203125,286.1753234863281,24.45591163635254,61.19697952270508
